strikePrice,lastPrice,percentFromLast,bidPrice,midpoint,askPrice,priceChange,percentChange,volatility,volume,openInterest,optionType,daysToExpiration,expirationDate,symbol,underlyingPrice
142.0,28.75,0.0023164330934473242,40.7,43.1,45.5,-12.72,-0.30670000000000003,99.63,,10.0,Call,7,2018-06-15,IYW,184.81
143.0,30.8,0.002262323467344841,40.0,42.25,44.5,,,106.15,,16.0,Call,7,2018-06-15,IYW,184.81
144.0,,0.002208213841242357,38.5,41.0,43.5,,,87.15,,,Call,7,2018-06-15,IYW,184.81
145.0,,0.0021541042151398734,37.6,40.05,42.5,,,89.22,,,Call,7,2018-06-15,IYW,184.81
146.0,,0.0020999945890373896,36.6,39.05,41.5,,,87.03,,,Call,7,2018-06-15,IYW,184.81
147.0,,0.0020458849629349063,35.7,38.1,40.5,,,88.26,,,Call,7,2018-06-15,IYW,184.81
148.0,,0.0019917753368324225,34.6,37.05,39.5,,,82.66,,,Call,7,2018-06-15,IYW,184.81
149.0,,0.001937665710729939,33.7,36.1,38.5,,,83.78999999999999,,,Call,7,2018-06-15,IYW,184.81
150.0,,0.0018835560846274554,33.5,35.35,37.2,,,93.60000000000001,,,Call,7,2018-06-15,IYW,184.81
151.0,,0.0018294464585249717,31.8,34.15,36.5,,,82.15,,,Call,7,2018-06-15,IYW,184.81
152.0,22.2,0.0017753368324224881,31.8,33.15,34.5,,,79.89,,40.0,Call,7,2018-06-15,IYW,184.81
153.0,,0.0017212272063200044,29.8,32.15,34.5,,,77.64,,,Call,7,2018-06-15,IYW,184.81
154.0,,0.0016671175802175208,28.8,31.15,33.5,,,75.39,,,Call,7,2018-06-15,IYW,184.81
155.0,,0.0016130079541150373,28.3,30.4,32.5,,,83.23,,,Call,7,2018-06-15,IYW,184.81
156.0,,0.0015588983280125535,26.9,29.05,31.2,,,65.55,,,Call,7,2018-06-15,IYW,184.81
157.0,,0.00150478870191007,25.8,28.15,30.5,,,68.69,,,Call,7,2018-06-15,IYW,184.81
158.0,,0.0014506790758075864,24.9,27.2,29.5,,,68.65,,,Call,7,2018-06-15,IYW,184.81
159.0,,0.0013965694497051026,24.1,26.3,28.5,,,70.15,,,Call,7,2018-06-15,IYW,184.81
160.0,20.9,0.0013424598236026189,23.5,25.4,27.3,6.8,0.48229999999999995,71.06,,2.0,Call,7,2018-06-15,IYW,184.81
161.0,10.7,0.0012883501975001356,22.7,23.85,25.0,-0.1,-0.009300000000000001,0.0,,11.0,Call,7,2018-06-15,IYW,184.81
162.0,14.5,0.0012342405713976518,20.8,23.1,25.4,6.7,0.8590000000000001,55.46,,2.0,Call,7,2018-06-15,IYW,184.81
163.0,10.9,0.0011801309452951683,20.7,21.85,23.0,-4.85,-0.3079,0.0,,71.0,Call,7,2018-06-15,IYW,184.81
164.0,,0.0011260213191926845,19.0,21.25,23.5,,,56.82000000000001,,,Call,7,2018-06-15,IYW,184.81
165.0,20.4,0.001071911693090201,18.6,20.65,22.7,4.05,0.2477,65.19,,81.0,Call,7,2018-06-15,IYW,184.81
166.0,,0.0010178020669877172,17.0,19.25,21.5,,,52.22,,,Call,7,2018-06-15,IYW,184.81
167.0,13.01,0.0009636924408852336,16.6,18.8,21.0,6.41,0.9712000000000001,63.160000000000004,,5.0,Call,7,2018-06-15,IYW,184.81
168.0,18.0,0.0009095828147827499,15.9,17.9,19.9,4.1,0.295,62.419999999999995,,20.0,Call,7,2018-06-15,IYW,184.81
169.0,5.65,0.0008554731886802663,14.8,16.3,17.8,-0.59,-0.0946,46.68,,10.0,Call,7,2018-06-15,IYW,184.81
170.0,15.3,0.0008013635625777828,14.0,15.35,16.7,5.5,0.5611999999999999,45.58,,59.0,Call,7,2018-06-15,IYW,184.81
171.0,11.1,0.000747253936475299,13.0,14.1,15.2,0.6,0.0571,36.16,,21.0,Call,7,2018-06-15,IYW,184.81
172.0,10.0,0.0006931443103728155,12.0,13.9,15.8,1.0,0.11109999999999999,51.39,,10.0,Call,7,2018-06-15,IYW,184.81
173.0,3.8,0.0006390346842703318,10.9,12.9,14.9,0.0,0.0,48.59,,11.0,Call,7,2018-06-15,IYW,184.81
174.0,7.75,0.0005849250581678482,9.9,10.8,11.7,-0.55,-0.0663,0.0,,33.0,Call,7,2018-06-15,IYW,184.81
175.0,10.7,0.0005308154320653645,9.1,10.95,12.8,5.3,0.9815,43.68,,9.0,Call,7,2018-06-15,IYW,184.81
176.0,6.0,0.0004767058059628809,8.0,9.9,11.8,,,40.03,,10.0,Call,7,2018-06-15,IYW,184.81
177.0,1.5,0.00042259617986039726,6.9,8.85,10.8,-5.09,-0.7724,36.38,,4.0,Call,7,2018-06-15,IYW,184.81
178.0,7.95,0.00036848655375791366,6.6,7.25,7.9,4.25,1.1486,23.89,,43.0,Call,7,2018-06-15,IYW,184.81
179.0,,0.00031437692765543,3.8,5.75,7.7,,,0.0,,,Call,7,2018-06-15,IYW,184.81
180.0,3.5,0.0002602673015529464,5.0,6.5,8.0,0.0,0.0,35.15,,1.0,Call,7,2018-06-15,IYW,184.81
181.0,1.94,0.00020615767545046276,3.9,4.85,5.8,,,24.13,,8.0,Call,7,2018-06-15,IYW,184.81
182.0,,0.00015204804934797913,3.2,4.0,4.8,,,22.5,,,Call,7,2018-06-15,IYW,184.81
183.0,,9.793842324549549e-05,2.55,2.98,3.4,,,18.61,,,Call,7,2018-06-15,IYW,184.81
184.0,2.9,4.382879714301186e-05,1.9,2.38,2.85,0.7,0.3182,18.7,,10.0,Call,7,2018-06-15,IYW,184.81
185.0,,-1.0280828959471768e-05,1.4,1.88,2.35,,,18.95,,,Call,7,2018-06-15,IYW,184.81
186.0,1.65,-6.43904550619554e-05,0.85,1.4,1.95,1.3,3.7143,18.64,1.0,43.0,Call,7,2018-06-15,IYW,184.81
187.0,,-0.00011850008116443904,0.55,0.88,1.2,,,16.88,,,Call,7,2018-06-15,IYW,184.81
188.0,,-0.00017260970726692265,0.3,0.6,0.9,,,16.82,,,Call,7,2018-06-15,IYW,184.81
189.0,,-0.0002267193333694063,0.15,0.45,0.75,,,17.549999999999997,,,Call,7,2018-06-15,IYW,184.81
190.0,,-0.00028082895947188996,0.0,0.65,0.65,,,18.04,,,Call,7,2018-06-15,IYW,184.81
191.0,,-0.00033493858557437356,0.0,0.55,0.55,,,19.38,,,Call,7,2018-06-15,IYW,184.81
142.0,2.0,0.0023164330934473242,0.0,3.0,3.0,-0.75,-0.2727,146.79,,2.0,Put,7,2018-06-15,IYW,184.81
143.0,0.5,0.002262323467344841,0.0,0.95,0.95,-0.8,-0.6154,110.35,,29.0,Put,7,2018-06-15,IYW,184.81
144.0,,0.002208213841242357,0.0,2.0,2.0,,,126.94000000000001,,,Put,7,2018-06-15,IYW,184.81
145.0,,0.0021541042151398734,0.0,5.0,5.0,,,160.09,,,Put,7,2018-06-15,IYW,184.81
146.0,,0.0020999945890373896,0.0,4.9,4.9,,,155.8,,,Put,7,2018-06-15,IYW,184.81
147.0,,0.0020458849629349063,0.0,4.9,4.9,,,152.53,,,Put,7,2018-06-15,IYW,184.81
148.0,,0.0019917753368324225,0.0,5.0,5.0,,,150.26,,,Put,7,2018-06-15,IYW,184.81
149.0,,0.001937665710729939,0.0,5.0,5.0,,,147.01,,,Put,7,2018-06-15,IYW,184.81
150.0,0.3,0.0018835560846274554,0.0,5.0,5.0,-2.1,-0.875,143.76,,6.0,Put,7,2018-06-15,IYW,184.81
151.0,,0.0018294464585249717,0.0,4.9,4.9,,,139.59,,,Put,7,2018-06-15,IYW,184.81
152.0,,0.0017753368324224881,0.0,4.8,4.8,,,135.44,,,Put,7,2018-06-15,IYW,184.81
153.0,,0.0017212272063200044,0.0,5.0,5.0,,,134.08,,,Put,7,2018-06-15,IYW,184.81
154.0,0.29,0.0016671175802175208,0.0,5.0,5.0,-0.04,-0.12119999999999999,130.85999999999999,,3.0,Put,7,2018-06-15,IYW,184.81
155.0,,0.0016130079541150373,0.0,4.8,4.8,,,125.88,,,Put,7,2018-06-15,IYW,184.81
156.0,,0.0015588983280125535,0.0,5.0,5.0,,,124.44999999999999,,,Put,7,2018-06-15,IYW,184.81
157.0,2.4,0.00150478870191007,0.0,4.8,4.8,,,119.52000000000001,,1.0,Put,7,2018-06-15,IYW,184.81
158.0,,0.0014506790758075864,0.0,4.9,4.9,,,117.19999999999999,,,Put,7,2018-06-15,IYW,184.81
159.0,5.2,0.0013965694497051026,0.0,4.8,4.8,,,113.17999999999999,,5.0,Put,7,2018-06-15,IYW,184.81
160.0,0.48,0.0013424598236026189,0.0,1.0,1.0,-0.1,-0.1724,70.05,,22.0,Put,7,2018-06-15,IYW,184.81
161.0,,0.0012883501975001356,0.0,5.0,5.0,,,108.46000000000001,,,Put,7,2018-06-15,IYW,184.81
162.0,,0.0012342405713976518,0.0,4.8,4.8,,,103.67,,,Put,7,2018-06-15,IYW,184.81
163.0,,0.0011801309452951683,0.0,0.9,0.9,,,61.370000000000005,,,Put,7,2018-06-15,IYW,184.81
164.0,0.39,0.0011260213191926845,0.0,0.25,0.25,-0.2,-0.33899999999999997,45.769999999999996,,4.0,Put,7,2018-06-15,IYW,184.81
165.0,9.0,0.001071911693090201,0.0,0.6,0.6,2.22,0.3274,51.76,,2.0,Put,7,2018-06-15,IYW,184.81
166.0,,0.0010178020669877172,0.0,0.4,0.4,,,45.62,,,Put,7,2018-06-15,IYW,184.81
167.0,,0.0009636924408852336,0.0,0.25,0.25,,,39.900000000000006,,,Put,7,2018-06-15,IYW,184.81
168.0,5.1,0.0009095828147827499,0.0,0.4,0.4,,,41.449999999999996,,30.0,Put,7,2018-06-15,IYW,184.81
169.0,5.53,0.0008554731886802663,0.0,0.3,0.3,-2.37,-0.3,37.21,,2.0,Put,7,2018-06-15,IYW,184.81
170.0,,0.0008013635625777828,0.0,0.3,0.3,,,35.199999999999996,,,Put,7,2018-06-15,IYW,184.81
171.0,6.6,0.000747253936475299,0.0,0.3,0.3,,,33.18,,1.0,Put,7,2018-06-15,IYW,184.81
172.0,,0.0006931443103728155,0.0,0.6,0.6,,,36.21,,,Put,7,2018-06-15,IYW,184.81
173.0,,0.0006390346842703318,0.05,0.2,0.35,,,30.930000000000003,,,Put,7,2018-06-15,IYW,184.81
174.0,,0.0005849250581678482,0.0,0.4,0.4,,,28.799999999999997,,,Put,7,2018-06-15,IYW,184.81
175.0,,0.0005308154320653645,0.0,0.4,0.4,,,26.650000000000002,,,Put,7,2018-06-15,IYW,184.81
176.0,,0.0004767058059628809,0.05,0.3,0.55,,,27.08,,,Put,7,2018-06-15,IYW,184.81
177.0,4.9,0.00042259617986039726,0.05,0.3,0.55,,,24.740000000000002,,3.0,Put,7,2018-06-15,IYW,184.81
178.0,2.45,0.00036848655375791366,0.05,0.3,0.55,-2.65,-0.5196000000000001,22.37,,8.0,Put,7,2018-06-15,IYW,184.81
179.0,5.4,0.00031437692765543,0.1,0.38,0.65,-2.4,-0.3077,21.36,,14.0,Put,7,2018-06-15,IYW,184.81
180.0,,0.0002602673015529464,0.2,0.53,0.85,,,21.17,,,Put,7,2018-06-15,IYW,184.81
181.0,,0.00020615767545046276,0.25,0.63,1.0,,,19.71,,,Put,7,2018-06-15,IYW,184.81
182.0,10.9,0.00015204804934797913,0.15,0.68,1.2,,,17.27,,10.0,Put,7,2018-06-15,IYW,184.81
183.0,1.05,9.793842324549549e-05,0.75,1.08,1.4,,,18.360000000000003,,1.0,Put,7,2018-06-15,IYW,184.81
184.0,1.15,4.382879714301186e-05,1.2,1.5,1.8,,,18.72,,1.0,Put,7,2018-06-15,IYW,184.81
185.0,,-1.0280828959471768e-05,1.1,1.78,2.45,,,16.77,,,Put,7,2018-06-15,IYW,184.81
186.0,1.55,-6.43904550619554e-05,1.9,2.25,2.6,-0.15,-0.0882,15.89,1.0,2.0,Put,7,2018-06-15,IYW,184.81
187.0,,-0.00011850008116443904,1.9,2.65,3.4,,,12.93,,,Put,7,2018-06-15,IYW,184.81
188.0,,-0.00017260970726692265,2.4,3.4,4.4,,,12.379999999999999,,,Put,7,2018-06-15,IYW,184.81
189.0,,-0.0002267193333694063,3.4,4.25,5.1,,,11.88,,,Put,7,2018-06-15,IYW,184.81
190.0,,-0.00028082895947188996,4.2,6.1,8.0,,,27.37,,,Put,7,2018-06-15,IYW,184.81
191.0,,-0.00033493858557437356,5.4,7.1,8.8,,,30.19,,,Put,7,2018-06-15,IYW,184.81
169.0,,0.0008554731886802663,16.0,16.65,17.3,,,19.84,,,Call,42,2018-07-20,IYW,184.81
170.0,,0.0008013635625777828,14.9,16.1,17.3,,,22.78,,,Call,42,2018-07-20,IYW,184.81
171.0,,0.000747253936475299,13.7,15.0,16.3,,,20.9,,,Call,42,2018-07-20,IYW,184.81
172.0,,0.0006931443103728155,13.0,13.95,14.9,,,19.41,,,Call,42,2018-07-20,IYW,184.81
173.0,,0.0006390346842703318,12.2,13.1,14.0,,,19.42,,,Call,42,2018-07-20,IYW,184.81
174.0,,0.0005849250581678482,11.2,12.5,13.8,,,20.849999999999998,,,Call,42,2018-07-20,IYW,184.81
175.0,,0.0005308154320653645,9.9,11.4,12.9,,,19.03,,,Call,42,2018-07-20,IYW,184.81
